Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,P/L,LPA,P/VP,VPA,P/EBIT,Marg. Bruta,PSR,Marg. EBIT,P/Ativos,Marg. Líquida,P/Cap. Giro,EBIT / Ativo,P/Ativ Circ Liq,ROIC,ROE,EV / EBITDA,Liquidez Corr,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,Receita Líquida (3 meses),EBIT,EBIT (3 meses),Lucro Líquido,Lucro Líquido (3 meses),Div. Yield
FLRY3,14.45,ON NM,22/10/2025,FLEURY ON NM,10.45,ServMédHospit Análises e Diagnósticos,16.26,ServMédHospit Análises e Diagnósticos,54252000.0,7906910000.0,30/06/2025,11186500000.0,547191000.0,13.04,1.11,1.47,9.83,6.71,26.9,1.01,15.0,0.6,7.4,3.01,9.0,-2.45,11.4,11.3,5.56,2.51,9.49,1.0,23.4,0.6,13072400000.0,5364210000.0,2084610000.0,3279600000.0,4368090000.0,5379100000.0,7841620000.0,2024530000.0,1178380000.0,307605000.0,606212000.0,152299000.0,6.9
RDOR3,42.11,ON NM,22/10/2025,REDE D OR ON NM,24.78,ServMédHospit Análises e Diagnósticos,42.3,ServMédHospit Análises e Diagnósticos,176417000.0,96402100000.0,30/06/2025,93841300000.0,2289290000.0,23.44,1.8,3.8,11.08,11.48,19.8,1.83,15.9,0.91,8.0,2.68,7.9,-4.2,13.2,16.2,9.24,2.89,11.18,1.5,34.5,0.5,105710000000.0,37985700000.0,40546500000.0,-2560790000.0,54856900000.0,25362500000.0,52806000000.0,13960800000.0,8394630000.0,2377790000.0,4112780000.0,1001590000.0,1.9
QUAL3,2.45,ON NM,22/10/2025,QUALICORP ON NM,1.47,ServMédHospit Análises e Diagnósticos,2.63,ServMédHospit Análises e Diagnósticos,4711380.0,695834000.0,30/06/2025,1641730000.0,284014000.0,80.95,0.03,0.53,4.62,1.27,85.3,0.46,36.3,0.18,1.1,-2.24,14.4,-0.55,19.7,0.7,1.84,0.79,3.01,1.05,-8.2,0.4,3801620000.0,1381410000.0,435514000.0,945897000.0,1199770000.0,1312980000.0,1506270000.0,357190000.0,546276000.0,142711000.0,8596000.0,18122000.0,0.2
AMOB3,12.26,ON NM,22/10/2025,AUTOMOB ON NM,10.3,Automóveis e Motocicletas,25.0,Automóveis e Motocicletas,776641.0,464482000.0,30/06/2025,3218900000.0,37886000.0,-3.98,-3.08,0.21,59.15,1.23,14.2,0.03,2.2,0.05,-0.7,0.25,4.4,-0.3,5.8,-5.2,4.85,1.63,8.56,1.35,-,1.95,8630070000.0,3028050000.0,273628000.0,2754420000.0,4835200000.0,2241000000.0,16828300000.0,2996130000.0,376151000.0,60850000.0,-116592000.0,-28223000.0,
PLAS3,4.41,ON,10/10/2025,PLASCAR PARTICIPAÇÕES INDUSTRIAIS SA ON,4.33,Automóveis e Motocicletas,7.4,Automóveis e Motocicletas,904.0,54794200.0,30/06/2025,319097000.0,12425000.0,-0.33,-13.29,-0.09,-50.46,-2.31,12.0,0.05,-2.1,0.09,-14.3,-0.14,-3.8,-0.05,-4.8,26.3,8.82,0.33,-13.44,-0.45,21.4,1.85,622657000.0,279884000.0,15581000.0,264303000.0,192008000.0,-626989000.0,1151740000.0,287505000.0,-23741000.0,-10542000.0,-165168000.0,-49830000.0,
LEVE3,27.85,ON,22/10/2025,MAHLE METAL LEVE ON,24.55,Automóveis e Motocicletas,32.77,Automóveis e Motocicletas,7613670.0,3774760000.0,30/06/2025,4955830000.0,135539000.0,7.02,3.97,5.11,5.45,4.52,27.0,0.74,16.3,1.01,10.5,6.57,22.4,-5.42,31.4,72.8,5.19,1.33,5.94,1.88,11.2,1.37,3732400000.0,1389950000.0,208873000.0,1181070000.0,2295130000.0,739079000.0,5104230000.0,1369160000.0,834511000.0,223082000.0,537776000.0,126743000.0,9.5
MYPK3,10.87,ON,22/10/2025,IOCHPE-MAXION ON,9.56,Automóveis e Motocicletas,14.25,Automóveis e Motocicletas,14349400.0,1670940000.0,30/06/2025,5587660000.0,153720000.0,6.07,1.79,0.39,28.09,1.61,12.2,0.1,6.5,0.11,2.3,0.6,7.0,-0.52,9.6,6.4,3.52,1.68,5.37,1.3,5.5,1.07,14920100000.0,5595420000.0,1678690000.0,3916730000.0,6926160000.0,4317770000.0,15936500000.0,4106970000.0,1040060000.0,290597000.0,275251000.0,86822000.0,4.6
ABEV3,12.07,ON,22/10/2025,AMBEV S/A ON,10.52,Bebidas,14.29,Cervejas e Refrigerantes,326698000.0,190243000000.0,30/06/2025,175876000000.0,15761600000.0,12.9,0.94,2.06,5.87,9.26,51.5,2.07,22.4,1.34,16.6,48.53,14.5,-23.33,19.4,16.0,6.42,1.11,8.56,0.03,7.1,0.65,142158000000.0,3157760000.0,17524600000.0,-14366800000.0,40792000000.0,92471600000.0,91719700000.0,20090200000.0,20544900000.0,3864470000.0,14752300000.0,2717720000.0,8.7
PETZ3,3.65,ON NM,22/10/2025,PETZ ON NM,3.61,Comércio,5.5,Produtos Diversos,18731500.0,1689000000.0,30/06/2025,1743100000.0,462740000.0,-104.45,-0.03,1.0,3.64,8.58,47.0,0.49,5.7,0.44,-0.5,2.92,5.2,-2.24,6.4,-1.0,3.16,1.72,8.86,0.25,17.3,0.91,3812140000.0,428010000.0,373912000.0,54098000.0,1377090000.0,1682180000.0,3453990000.0,887332000.0,196837000.0,57719000.0,-16171000.0,21290000.0,7.9
AMAR3,1.21,ON NM,22/10/2025,LOJAS MARISA ON NM,0.89,Comércio,1.63,Tecidos. Vestuário e Calçados,314849.0,621282000.0,30/06/2025,1283900000.0,513456000.0,-10.19,-0.12,2.15,0.56,3.83,51.3,0.41,10.8,0.31,-4.0,-1.48,8.0,-0.52,9.7,-21.1,3.87,0.56,7.91,2.33,-16.3,0.75,2018170000.0,672865000.0,10248000.0,662617000.0,526997000.0,289343000.0,1510510000.0,394481000.0,162410000.0,62437000.0,-60972000.0,2106000.0,
